#tag	cores	nPar	nSteps	t1	t	colliderRel
par3_oneMutex	6	1000	1000	0.022233	0.00041787	0.335571
par3_oneMutex	6	1000	1000	0.013085	0.00043769	0.326196
par3_oneMutex	6	1000	1000	0.016330	0.00040081	0.348681
par3_oneMutex	6	1000	1000	0.012799	0.00039098	0.342416
par3_oneMutex	6	8000	1000	0.145277	0.00537994	0.425575
par3_oneMutex	6	8000	1000	0.149551	0.00477900	0.425288
par3_oneMutex	6	8000	1000	0.139354	0.00456318	0.441010
par3_oneMutex	6	8000	1000	0.143305	0.00454816	0.440068
par3_oneMutex	6	8000	1000	0.145136	0.00454449	0.442203
par3_oneMutex	6	15625	1000	0.347136	0.01105333	0.481872
par3_oneMutex	6	15625	1000	0.338423	0.01087350	0.478119
par3_oneMutex	6	15625	1000	0.344602	0.01080460	0.478493
par3_oneMutex	6	64000	1000	2.617943	0.06356437	0.560716
par3_oneMutex	6	125000	1000	7.477593	0.13721134	0.563437
par4_shortCircuit	6	1000	1000	0.017887	0.00036807	0.358103
par4_shortCircuit	6	1000	1000	0.013810	0.00036327	0.363083
par4_shortCircuit	6	1000	1000	0.017956	0.00037184	0.357479
par4_shortCircuit	6	1000	1000	0.012215	0.00036821	0.352081
par4_shortCircuit	6	1000	1000	0.015450	0.00037501	0.347296
par4_shortCircuit	6	8000	1000	0.145350	0.00453550	0.443494
par4_shortCircuit	6	8000	1000	0.144098	0.00448514	0.442047
par4_shortCircuit	6	8000	1000	0.145648	0.00452927	0.442690
par4_shortCircuit	6	8000	1000	0.139850	0.00457759	0.440092
par4_shortCircuit	6	8000	1000	0.145148	0.00460859	0.439694
par4_shortCircuit	6	15625	1000	0.342503	0.01082487	0.474006
par4_shortCircuit	6	15625	1000	0.339068	0.01093011	0.479673
par4_shortCircuit	6	15625	1000	0.341301	0.01080054	0.472896
par4_shortCircuit	6	27000	1000	0.743827	0.02180944	0.515772
par4_shortCircuit	6	27000	1000	0.740236	0.02240873	0.526504
par4_shortCircuit	6	64000	1000	2.680793	0.06694884	0.550103
par4_shortCircuit	6	125000	1000	7.470136	0.13796623	0.554457
parBounds	6	1000	1000	0.052869	0.00039699	0.278124
parBounds	6	1000	1000	0.016852	0.00036281	0.305008
parBounds	6	1000	1000	0.017073	0.00035165	0.296371
parBounds	6	1000	1000	0.015196	0.00033580	0.301141
parBounds	6	1000	1000	0.018273	0.00035556	0.298209
parBounds	6	8000	1000	0.149024	0.00420907	0.351466
parBounds	6	8000	1000	0.145734	0.00401731	0.356862
parBounds	6	8000	1000	0.140421	0.00394344	0.357728
parBounds	6	8000	1000	0.164034	0.00399370	0.359958
parBounds	6	8000	1000	0.146658	0.00403391	0.355866
parBounds	6	15625	1000	0.363113	0.00951231	0.391018
parBounds	6	15625	1000	0.376412	0.00952094	0.396601
parBounds	6	15625	1000	0.358136	0.00940104	0.391633
parBounds	6	27000	1000	0.778978	0.01855734	0.427316
parBounds	6	27000	1000	0.779433	0.01874697	0.429313
parBounds	6	64000	1000	2.781964	0.05311546	0.479124
parBounds	6	125000	1000	7.944161	0.11607699	0.491988
gcc49	6	1000	1000	0.023147	0.00032449	0.298194
gcc49	6	1000	1000	0.017888	0.00033552	0.291287
gcc49	6	1000	1000	0.020854	0.00036137	0.309033
